business_id,labels
3,0 1 2 3 4 8 
5,1 3 4 6 7 
7,1 2 3 6 8 
8,0 3 4 5 7 8 
14,1 4 7 8 
18,0 1 2 4 
37,0 2 5 6 
38,0 1 4 5 6 7 
39,1 3 4 5 6 
51,0 1 2 3 4 5 6 8 
68,1 3 6 7 
74,0 2 3 4 5 6 8 
77,0 1 2 3 4 5 7 8 
85,0 2 3 4 5 8 
96,0 1 3 4 7 8 
99,0 1 3 4 5 6 8 
118,1 5 6 7 
125,0 5 6 
154,2 3 4 6 
157,1 2 
164,2 3 5 7 
165,0 2 3 6 8 
177,1 5 
184,2 3 5 6 7 
188,0 1 2 5 7 8 
190,6 8 
202,0 1 3 4 7 
234,3 5 7 8 
245,1 5 
248,0 2 5 7 
251,0 3 4 6 7 8 
271,0 2 3 4 5 8 
272,0 2 3 4 5 6 
284,1 
285,2 
289,1 2 6 7 
290,0 2 3 5 6 
317,0 1 2 3 4 5 6 8 
320,0 1 3 
328,4 5 8 
339,3 4 5 7 
340,1 2 7 8 
345,1 2 3 5 7 8 
355,0 1 7 8 
363,0 1 2 3 4 5 8 
370,2 3 4 6 7 8 
372,0 2 5 7 8 
376,0 1 3 4 7 8 
385,0 1 2 3 4 5 6 
390,1 4 5 6 7 
412,0 1 4 6 7 8 
416,1 2 4 5 7 8 
421,0 1 3 4 5 
430,3 4 6 8 
459,3 5 7 
464,0 1 2 5 6 7 
466,0 5 7 
472,0 1 2 3 4 8 
487,1 
495,0 2 4 5 6 7 
515,
526,1 2 3 4 5 6 8 
534,2 6 7 8 
538,2 3 4 7 8 
541,0 1 2 5 8 
546,4 5 6 7 
549,2 3 6 7 8 
559,1 2 3 6 8 
603,0 2 3 4 6 
628,0 6 7 
645,1 3 6 7 8 
649,2 7 
657,0 1 4 5 6 
664,4 
667,0 2 3 4 7 8 
680,0 3 5 7 
683,0 1 2 3 5 8 
689,0 1 2 3 4 6 7 8 
694,0 2 4 6 7 8 
707,0 1 3 4 5 7 8 
723,0 5 8 
726,0 1 3 4 7 
728,0 1 2 3 7 8 
733,1 4 6 7 
752,1 3 4 5 6 7 
756,0 1 2 6 7 8 
790,0 1 3 
805,1 2 5 6 8 
812,3 6 8 
818,6 7 8 
822,1 3 6 7 
828,0 4 8 
830,0 1 4 8 
848,0 1 2 3 5 6 8 
872,3 4 6 8 
882,0 1 3 5 7 8 
891,1 2 3 4 5 6 7 
893,1 3 7 
906,0 1 6 8 
909,0 2 4 7 
910,2 3 6 7 
911,0 1 2 3 6 7 8 
912,0 1 3 4 6 7 8 
913,0 2 5 6 7 8 
943,0 1 7 8 
955,0 2 4 6 
956,1 2 4 5 6 7 
972,0 1 4 5 6 8 
976,1 2 3 5 8 
998,1 4 7 
1010,3 5 6 7 
1011,0 1 2 4 5 6 7 8 
1012,1 2 6 7 8 
1022,1 2 3 4 5 6 7 8 
1026,0 1 3 5 7 
1032,0 2 5 6 7 
1036,0 2 3 4 5 8 
1052,5 6 
1054,3 5 
1063,1 4 5 
1070,2 3 4 5 6 8 
1085,0 2 3 5 6 7 
1088,0 1 2 4 5 6 7 
1098,1 3 4 
1114,1 4 6 7 8 
1137,2 3 5 7 
1142,0 1 3 4 5 8 
1145,2 3 4 
1166,0 1 3 7 8 
1167,0 1 4 7 
1177,2 7 8 
1189,0 3 5 7 8 
1194,1 2 5 6 7 
1215,1 2 3 6 7 
1229,0 2 3 4 5 8 
1231,3 4 7 8 
1238,0 1 2 3 6 
1239,0 1 4 6 8 
1241,1 2 3 5 
1245,2 6 
1259,0 3 4 7 
1265,4 6 7 
1269,3 4 5 
1271,0 1 2 3 4 6 8 
1272,0 3 5 6 7 
1277,2 
1281,3 4 5 7 8 
1310,1 2 3 4 5 8 
1312,0 3 6 8 
1313,0 3 4 6 8 
1328,3 4 7 8 
1329,3 4 5 7 
1331,0 1 5 
1332,0 1 6 7 8 
1336,1 6 7 8 
1339,0 1 6 7 
1349,0 1 3 
1356,0 2 3 7 
1363,0 2 3 5 6 
1382,0 4 5 6 7 8 
1387,4 6 7 
1393,3 7 8 
1414,2 3 5 8 
1416,4 6 8 
1418,0 1 2 3 4 5 8 
1424,3 5 6 7 8 
1431,0 1 7 
1441,2 4 5 7 8 
1443,0 1 3 4 5 7 
1453,0 2 3 6 7 8 
1464,0 1 3 
1467,0 1 4 5 6 
1468,3 5 6 8 
1497,2 4 5 
1519,0 1 2 3 7 
1527,4 5 6 7 
1530,4 6 7 8 
1545,0 1 2 3 4 8 
1577,0 1 2 4 6 7 8 
1583,1 2 3 6 7 8 
1588,3 6 
1590,0 6 7 
1607,0 2 5 6 7 
1615,1 3 4 
1627,2 4 5 6 7 
1631,0 2 4 6 7 
1638,1 4 6 8 
1640,4 6 7 8 
1646,0 2 6 7 
1667,1 
1696,0 4 5 6 8 
1725,0 1 3 5 7 
1735,1 2 5 7 
1740,0 2 4 7 8 
1754,3 4 5 
1758,0 7 
1759,0 1 2 3 4 5 7 
1760,0 1 3 5 7 
1762,1 2 3 4 
1768,3 4 5 6 7 8 
1776,1 4 7 8 
1780,0 2 3 7 
1810,1 2 3 6 
1830,0 4 6 
1831,0 3 7 
1843,3 5 
1865,1 2 3 4 8 
1882,3 4 6 8 
1889,8 
1924,1 2 4 
1929,0 1 3 4 5 
1932,0 6 7 8 
1941,2 3 4 6 8 
1958,0 2 3 8 
1959,6 7 8 
1962,2 5 7 8 
1968,1 6 8 
1975,0 2 
1997,1 
2009,1 5 7 
2014,1 2 3 4 6 7 8 
2017,1 2 3 4 6 7 8 
2018,1 3 5 6 7 
2024,0 1 
2035,0 3 4 6 7 8 
2037,0 1 5 
2046,0 2 3 4 5 6 8 
2048,0 2 4 5 6 8 
2056,0 2 4 7 8 
2090,0 2 4 7 8 
2095,0 2 3 4 5 8 
2111,0 2 3 4 7 8 
2116,1 2 3 6 7 8 
2118,1 4 5 6 7 
2119,0 1 3 4 5 7 8 
2121,0 1 2 3 4 5 6 
2136,3 4 5 7 
2139,3 4 6 7 8 
2155,2 4 5 
2162,1 2 3 4 5 6 7 8 
2176,0 2 3 4 7 8 
2184,1 2 3 4 5 6 7 8 
2215,0 3 4 6 8 
2247,1 5 6 
2265,2 3 6 7 
2292,1 8 
2296,1 5 6 7 8 
2299,4 7 8 
2300,0 1 3 6 
2319,2 3 5 6 7 8 
2325,3 7 8 
2329,3 4 6 7 8 
2344,2 3 4 6 8 
2346,0 
2347,0 1 2 3 5 6 8 
2381,0 2 4 8 
2404,2 3 4 5 6 8 
2424,3 4 5 7 
2425,3 5 
2438,0 2 3 5 7 
2443,0 2 3 5 8 
2451,1 2 4 7 
2464,1 3 5 7 
2473,1 4 6 7 8 
2480,5 7 8 
2484,2 6 8 
2491,4 8 
2515,2 3 4 6 8 
2527,2 4 5 6 7 8 
2560,1 2 3 5 
2581,1 2 4 
2618,2 3 4 
2620,0 3 4 6 8 
2635,2 3 4 6 
2640,1 4 6 7 8 
2646,1 6 7 8 
2659,2 3 5 6 8 
2661,2 3 8 
2675,0 1 4 5 6 8 
2683,1 5 8 
2716,1 2 4 6 
2730,0 2 3 5 8 
2738,0 2 3 4 6 
2742,1 6 8 
2753,1 2 3 6 7 8 
2774,0 1 4 6 
2787,0 2 4 5 
2795,1 2 6 
2796,2 3 6 
2806,4 5 7 
2812,0 3 4 6 7 
2813,1 3 4 5 6 
2833,1 2 4 7 8 
2872,1 3 4 7 8 
2878,0 5 8 
2882,0 1 5 6 7 8 
2886,0 2 3 5 6 
2889,1 3 5 8 
2895,0 2 5 7 
2908,1 3 6 8 
2957,1 3 7 8 
2971,1 5 6 8 
2985,1 4 5 7 
2998,1 2 6 8 
3003,2 3 4 5 7 
3011,1 3 7 
3013,0 2 3 6 8 
3018,1 3 7 8 
3021,2 4 6 
3044,0 1 3 4 6 7 8 
3055,0 2 3 5 7 8 
3065,3 4 6 7 
3074,1 6 7 
3080,3 4 6 7 8 
3093,1 4 6 
3108,0 1 2 3 4 
3120,0 1 2 3 7 
3128,2 3 5 6 8 
3144,0 1 2 3 5 6 7 
3150,3 7 
3158,1 5 6 8 
3170,0 1 5 7 8 
3175,0 1 2 6 7 
3187,0 2 3 4 8 
3205,1 2 3 5 6 8 
3212,0 1 3 
3216,0 3 8 
3235,1 5 7 
3242,1 2 3 4 5 8 
3253,0 2 3 8 
3264,3 4 7 8 
3303,1 3 4 7 
3313,0 1 8 
3328,1 2 6 7 
3330,6 
3339,0 2 
3352,0 2 4 6 7 8 
3353,0 6 
3363,2 4 6 
3386,0 2 3 5 8 
3391,3 4 5 6 7 
3394,0 2 3 4 5 
3410,1 4 5 8 
3414,0 1 3 4 6 
3421,0 1 2 6 7 
3426,0 7 
3430,3 6 7 
3437,0 1 3 4 5 7 8 
3441,0 2 4 5 6 
3457,0 3 4 5 6 
3465,5 
3466,0 1 4 5 6 8 
3470,0 2 8 
3478,1 5 7 8 
3501,0 2 6 7 
3522,1 2 4 6 
3538,1 2 3 5 
3540,1 2 3 4 6 7 8 
3562,0 2 4 5 6 8 
3571,3 4 6 
3593,0 1 4 5 
3594,0 1 2 5 6 7 8 
3602,0 1 2 3 5 6 8 
3606,1 2 3 4 
3609,1 2 3 6 7 8 
3611,2 3 4 6 
3625,0 1 2 3 4 6 7 8 
3646,1 4 5 
3657,4 5 6 8 
3663,0 2 5 6 8 
3670,0 5 
3672,0 4 5 
3675,0 6 8 
3702,0 2 4 7 
3707,0 2 3 4 5 
3727,0 2 4 5 8 
3737,1 3 5 
3754,1 3 4 8 
3768,4 5 7 
3784,3 4 5 6 
3828,3 4 6 7 
3835,0 1 5 
3848,1 3 5 
3856,0 5 
3874,0 2 5 6 7 
3886,0 1 3 4 5 7 8 
3891,1 2 3 7 
3909,1 3 4 5 7 
3917,0 1 2 3 5 7 8 
3924,1 5 6 7 8 
3926,1 2 
3936,2 4 7 
3943,1 7 
3945,0 3 4 7 8 
3956,0 1 2 4 6 7 8 
3965,0 2 3 8 
3973,0 2 7 8 
3980,1 8 
3982,0 1 2 3 7 
3986,2 3 4 6 
